nx	ny	datetime	s_wht	meanwdir	peak_fr	mean_fr	ustar	wind_dir	cdg	wind_speed	depth	maxwh	maxwp	swe_h	meansdir	meansfr	wsea_h	wsead	wsea_fr	msp1	msp2	mwseap1	mwseap2
470	584	2009-01-01 00:00:00	0.52	340.364	0.303	0.25	0.187	327.234	0	5.673	29	1.095	3.371	0.33	9.113	0.175	0.404	328.148	0.352	4.115	3.714	2.589	2.394
470	584	2009-01-01 01:00:00	0.56	339.602	0.295	0.239	0.189	327.234	0.001	5.673	29	1.181	3.456	0.37	1.971	0.167	0.43	328.071	0.347	4.244	3.804	2.622	2.422
470	584	2009-01-01 02:00:00	0.61	339.725	0.278	0.232	0.222	345.171	0.001	6.486	29	1.274	3.516	0.35	340.864	0.146	0.501	339.373	0.325	4.43	3.761	2.799	2.583
470	584	2009-01-01 03:00:00	0.67	341.022	0.277	0.219	0.224	345.171	0.001	6.486	29	1.41	3.618	0.38	338.077	0.133	0.545	342.082	0.32	4.808	4.06	2.847	2.627
470	584	2009-01-01 04:00:00	0.72	342.368	0.066	0.198	0.225	345.171	0.001	6.486	29	1.322	3.819	0.43	339.6	0.119	0.576	343.639	0.314	5.342	4.433	2.903	2.681
470	584	2009-01-01 05:00:00	0.79	345.973	0.067	0.179	0.249	8.703	0.001	7.071	29	1.459	4.042	0.51	329.441	0.113	0.606	356.857	0.305	5.499	4.459	2.978	2.747
470	584	2009-01-01 06:00:00	0.89	350.759	0.068	0.165	0.252	8.703	0.001	7.071	29	1.644	4.288	0.58	335.145	0.104	0.669	2.055	0.297	6.235	5.033	3.063	2.827
470	584	2009-01-01 07:00:00	0.99	354.329	0.07	0.155	0.252	8.703	0.001	7.071	29	1.852	4.556	0.67	340.683	0.1	0.733	5.339	0.286	6.75	5.498	3.191	2.948
470	584	2009-01-01 08:00:00	1.1	357.563	0.071	0.149	0.253	18.232	0.001	7.128	29	2.058	4.812	0.77	341.482	0.101	0.787	12.586	0.272	6.819	5.569	3.363	3.106
470	584	2009-01-01 09:00:00	1.2	0.777	0.072	0.145	0.253	18.232	0.001	7.128	29	2.253	5.051	0.87	346.999	0.103	0.833	15.206	0.262	7.025	5.893	3.48	3.21
470	584	2009-01-01 10:00:00	1.3	3.291	0.073	0.142	0.251	18.232	0.001	7.128	29	2.434	5.272	0.97	352.368	0.106	0.857	16.61	0.255	7.099	6.104	3.572	3.291
470	584	2009-01-01 11:00:00	1.4	5.629	0.075	0.142	0.279	13.929	0.001	7.768	29	2.631	5.441	1	356.317	0.102	0.977	14.776	0.238	7.682	6.696	3.813	3.503
470	584	2009-01-01 12:00:00	1.5	7.694	0.076	0.141	0.28	13.929	0.001	7.768	29	2.83	5.598	1.12	1.533	0.107	1.009	14.66	0.233	7.59	6.772	3.882	3.556
470	584	2009-01-01 13:00:00	1.06	8.644	0.095	0.175	0.281	13.929	0.001	7.768	29	2.035	4.64	0.67	356.214	0.115	0.826	16.591	0.266	7.289	6.379	3.412	3.138
470	584	2009-01-01 14:00:00	1.18	7.854	0.09	0.158	0.192	355.195	0.001	5.73	29	2.251	5.089	1.07	9.293	0.142	0.484	0.562	0.341	5.688	5.137	2.669	2.471
470	584	2009-01-01 15:00:00	1.26	5.753	0.087	0.142	0.189	355.195	0.001	5.73	29	2.404	5.614	1.18	6.759	0.131	0.444	358.317	0.345	6.17	5.557	2.646	2.453
470	584	2009-01-01 16:00:00	1.33	4.034	0.085	0.134	0.189	355.195	0.001	5.73	29	2.523	5.971	1.25	4.777	0.125	0.426	357.17	0.346	6.502	5.86	2.636	2.443
470	584	2009-01-01 17:00:00	1.38	2.371	0.084	0.132	0.243	2.359	0.001	7.046	29	2.626	6.085	1.23	2	0.116	0.632	3.813	0.28	7.251	6.565	3.225	2.963
470	584	2009-01-01 18:00:00	1.43	0.815	0.083	0.133	0.246	2.359	0.001	7.046	29	2.705	6.061	1.25	0.143	0.115	0.701	3.009	0.27	7.387	6.697	3.323	3.042
470	584	2009-01-01 19:00:00	1.47	359.38	0.084	0.134	0.247	2.359	0.001	7.046	29	2.775	6.049	1.28	358.289	0.116	0.718	2.98	0.271	7.383	6.724	3.311	3.034
470	584	2009-01-01 20:00:00	1.5	358.238	0.085	0.136	0.266	3.662	0.001	7.515	29	2.866	6.022	1.27	355.785	0.115	0.8	4.704	0.257	7.603	6.991	3.49	3.197
470	584	2009-01-01 21:00:00	1.54	357.661	0.087	0.138	0.267	3.662	0.001	7.515	29	2.948	6.006	1.31	355.045	0.117	0.82	4.586	0.257	7.555	6.987	3.508	3.217
470	584	2009-01-01 22:00:00	1.59	358.156	0.088	0.139	0.267	3.662	0.001	7.515	29	3.037	6.021	1.35	355.898	0.119	0.828	4.378	0.256	7.483	6.97	3.526	3.236
470	584	2009-01-01 23:00:00	1.66	0.5	0.089	0.142	0.322	11.515	0.001	8.766	29	3.186	5.975	1.25	355.164	0.113	1.093	7.579	0.218	8.091	7.565	4.119	3.765
470	584	2009-01-02 00:00:00	1.75	3.226	0.089	0.146	0.324	11.515	0.001	8.766	29	3.352	5.901	1.3	358.466	0.116	1.166	9.143	0.216	7.933	7.491	4.164	3.815
470	584	2009-01-02 01:00:00	1.8	4.912	0.09	0.149	0.324	11.515	0.001	8.766	29	3.441	5.86	1.33	0.91	0.119	1.203	9.709	0.214	7.777	7.381	4.211	3.863
470	584	2009-01-02 02:00:00	1.84	6.128	0.154	0.152	0.374	15.051	0.001	9.858	29	3.747	5.771	1.11	355.082	0.111	1.466	12.42	0.193	8.385	7.896	4.675	4.285
470	584	2009-01-02 03:00:00	1.88	6.92	0.157	0.155	0.376	15.051	0.001	9.858	29	3.854	5.694	1.09	355.129	0.112	1.535	12.754	0.192	8.269	7.795	4.714	4.328
470	584	2009-01-02 04:00:00	1.91	7.178	0.158	0.157	0.376	15.051	0.001	9.858	29	3.923	5.662	1.07	354.754	0.114	1.581	12.68	0.19	8.162	7.693	4.772	4.387
470	584	2009-01-02 05:00:00	1.91	7.25	0.158	0.158	0.355	18.011	0.001	9.411	29	3.928	5.66	1.17	355.736	0.121	1.502	14.06	0.195	7.693	7.297	4.662	4.285
470	584	2009-01-02 06:00:00	1.89	7.241	0.157	0.158	0.352	18.011	0.001	9.411	29	3.887	5.673	1.18	354.782	0.123	1.476	14.925	0.194	7.565	7.192	4.686	4.309
470	584	2009-01-02 07:00:00	1.88	7.029	0.156	0.158	0.351	18.011	0.001	9.411	29	3.86	5.678	1.17	354.32	0.123	1.466	14.893	0.193	7.545	7.186	4.7	4.322
470	584	2009-01-02 08:00:00	1.83	6.734	0.154	0.157	0.292	33.201	0.001	8.127	29	3.747	5.721	1.53	358.016	0.138	1	27.981	0.231	6.747	6.461	3.907	3.593
470	584	2009-01-02 09:00:00	1.76	6.474	0.15	0.155	0.291	33.201	0.001	8.127	29	3.592	5.776	1.49	357.405	0.137	0.947	29.983	0.234	6.836	6.561	3.859	3.544
